_id,Product ID,URL,Genedr,UPC,Brand,Title,Model,Variations,Polarized,Price,Description,Image URLs,Product Details,Frame Color,Frame Material,Frame Shape,LensMaterial,Model Number,Lens Color,Size & Fit,Bridge Size,Lense Size,Size,Feature Technology
693297edd842073f56990f33,3074457345618691381,https://www.sunglasshut.com/ca-en/ray-ban-meta-gen-1/rw4006-8056262326831,male,410000404218,Ray-Ban,Ray-Ban Meta (Gen 1) Sunglasses,RW4006 Ray-Ban | Meta Wayfarer,/wcs/resources/store/10154/products/3074457345618691381/variants?pdpGroupByValue=RW4006+Ray-Ban+%7C+Meta+Wayfarer_Electronics&categoryId=3074457345627022828,False,69.99,"An icon of style from Hollywood to hip-hop, the Wayfarer never stands still. Forever embraced by the next generation of culture makers, now its journey continues with AI-enhanced wearable tech. Ray-Ban Meta Wayfarer AI glasses enable you to live in the moment and share how you see the world. Listen, call, capture and livestream features are seamlessly integrated within the classic frame – so you can stay connected to the world around you.",https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/Ray-Ban_Meta_bl_18.png,"An icon of style from Hollywood to hip-hop, the Wayfarer never stands still. Forever embraced by the next generation of culture makers, now its journey continues with AI-enhanced wearable tech. Ray-Ban Meta Wayfarer AI glasses enable you to live in the moment and share how you see the world. Listen, call, capture and livestream features are seamlessly integrated within the classic frame – so you can stay connected to the world around you.",0,,,Polycarbonate,RW4006,,(0-)_size,,, (0-)_size,Transitions®
693297eed842073f56990f34,3074457345618707700,https://www.sunglasshut.com/ca-en/ray-ban/rb4455-8056262454039,male,410000404058,Ray-Ban,Ray-Ban Sunglasses,RB4455 Zuri Bio-Based,/wcs/resources/store/10154/products/3074457345618707700/variants?pdpGroupByValue=RB4455+Zuri+Bio-Based_SUN&categoryId=3074457345626651857,False,29.99,Ray-Ban Zuri Bio-Based sunglasses are designed for those who love to stand out from the crowd. The solid dark grey lenses paired with havana frames create an iconic look that will instantly become your new favorite accessory. These pillow-shaped frames provide all-day comfort so you can keep on rocking even after hours.,,Ray-Ban Zuri Bio-Based sunglasses are designed for those who love to stand out from the crowd. The solid dark grey lenses paired with havana frames create an iconic look that will instantly become your new favorite accessory. These pillow-shaped frames provide all-day comfort so you can keep on rocking even after hours.,0,,,Polyamide Bio,RB4455,,(0-)_size,,, (0-)_size,Classic
693297efd842073f56990f35,3074457345618685701,https://www.sunglasshut.com/ca-en/ray-ban/rb4420-8056597959339,male,410000404058,Ray-Ban,Ray-Ban Sunglasses,RB4420,/wcs/resources/store/10154/products/3074457345618685701/variants?pdpGroupByValue=RB4420_SUN&categoryId=3074457345626651857,False,29.99,"Ray-Ban RB4420 sunglasses are a modern take on the iconic square shape. The square frame is crafted from durable acetate and features a polished black finish with dark grey lenses for an everyday look that's always in style. These unisex shades offer comfort and wearability, making them perfect for any occasion.",,"Ray-Ban RB4420 sunglasses are a modern take on the iconic square shape. The square frame is crafted from durable acetate and features a polished black finish with dark grey lenses for an everyday look that's always in style. These unisex shades offer comfort and wearability, making them perfect for any occasion.",0,,,Polycarbonate,RB4420,,(0-)_size,,, (0-)_size,Classic
693297f1d842073f56990f36,3074457345618615186,https://www.sunglasshut.com/ca-en/celine/cl000350-192337107863,unisex,410000404058,Celine,Celine sunglasses,CL40235U,/wcs/resources/store/10154/products/3074457345618615186/variants?pdpGroupByValue=CL40235U_SUN&categoryId=3074457345626665328,False,29.99,"Elevating the iconic oval shape to new heights, Celine presents its latest creation: CL40235U sunglasses. The gold shiny metal frames are paired with green lenses, creating an elegant and sophisticated look that exudes timeless appeal. Featuring an oval shape that effortlessly merges style and functionality, these shades offer a harmonious blend of aesthetics and functionality for a versatile choice suitable for any occasion.",,"Elevating the iconic oval shape to new heights, Celine presents its latest creation: CL40235U sunglasses. The gold shiny metal frames are paired with green lenses, creating an elegant and sophisticated look that exudes timeless appeal. Featuring an oval shape that effortlessly merges style and functionality, these shades offer a harmonious blend of aesthetics and functionality for a versatile choice suitable for any occasion.",0,,,Polyamide,CL40235U,,(0-)_size,,, (0-)_size,Classic
693297f2d842073f56990f37,3074457345618549174,https://www.sunglasshut.com/ca-en/celine/cl000312-192337081071,unisex,410000404058,Celine,Celine sunglasses,CL40194U,/wcs/resources/store/10154/products/3074457345618549174/variants?pdpGroupByValue=CL40194U_SUN&categoryId=3074457345626665328,False,29.99,"Elevating the iconic oval shape to new heights, Celine CL40194U sunglasses offer a captivating blend of sophistication and modernity. The solid grey lenses are set in a black shiny frame crafted from premium quality materials for unparalleled comfort and durability. With their timeless design, these shades exude elegance and understated charm that make them an easy choice for those who want to make a statement without being too loud about it.",,"Elevating the iconic oval shape to new heights, Celine CL40194U sunglasses offer a captivating blend of sophistication and modernity. The solid grey lenses are set in a black shiny frame crafted from premium quality materials for unparalleled comfort and durability. With their timeless design, these shades exude elegance and understated charm that make them an easy choice for those who want to make a statement without being too loud about it.",0,,,Polyamide,CL40194U,,(0-)_size,,, (0-)_size,Classic
693297f3d842073f56990f38,3074457345618725692,https://www.sunglasshut.com/ca-en/ray-ban-meta/rw4012-8056262721384,male,410000404218,Ray-Ban,Ray-Ban Meta (Gen 2) Sunglasses,RW4012 Ray-Ban | Meta Wayfarer,/wcs/resources/store/10154/products/3074457345618725692/variants?pdpGroupByValue=RW4012+Ray-Ban+%7C+Meta+Wayfarer_Electronics&categoryId=3074457345626927828,False,69.99,"Ray-Ban | Meta Wayfarer is a new generation of electronics. These unisex frames, featuring clear/grey transitions® lenses, are perfect for those who love to stand out from the crowd. The square shape and matte black frame create an edgy look, while the transitions® lenses add a touch of sophistication. Wear them with your favorite outfit or dress them up for a night out on the town - you'll always be ready to make an impression wherever you go with this cutting-edge style that's sure to turn heads.",https://assets.sunglasshut.com/extra/image/LuxotticaRetail/SGH_brands_logos/Ray-Ban_Meta_bl_18.png,"Ray-Ban | Meta Wayfarer is a new generation of electronics. These unisex frames, featuring clear/grey transitions® lenses, are perfect for those who love to stand out from the crowd. The square shape and matte black frame create an edgy look, while the transitions® lenses add a touch of sophistication. Wear them with your favorite outfit or dress them up for a night out on the town - you'll always be ready to make an impression wherever you go with this cutting-edge style that's sure to turn heads.",0,,,Polycarbonate,RW4012,,(0-)_size,,, (0-)_size,Transitions®
693297f4d842073f56990f39,3074457345618707702,https://www.sunglasshut.com/ca-en/ray-ban/rb4456-8056262453933,male,410000404058,Ray-Ban,Ray-Ban Sunglasses,RB4456 Zaya Bio-Based,/wcs/resources/store/10154/products/3074457345618707702/variants?pdpGroupByValue=RB4456+Zaya+Bio-Based_SUN&categoryId=3074457345626651857,False,29.99,"Ray-Ban Zaya Bio-Based is a timeless pillow shape that will never go out of style. This unisex model comes in a solid dark grey lenses, perfect for those looking for something a little more adventurous than your standard brown or black lenses. The havana frame is lightweight and comfortable, making it ideal for everyday wear.",,"Ray-Ban Zaya Bio-Based is a timeless pillow shape that will never go out of style. This unisex model comes in a solid dark grey lenses, perfect for those looking for something a little more adventurous than your standard brown or black lenses. The havana frame is lightweight and comfortable, making it ideal for everyday wear.",0,,,Polyamide Bio,RB4456,,(0-)_size,,, (0-)_size,Classic
693297f5d842073f56990f3a,3074457345618401146,https://www.sunglasshut.com/ca-en/versace/ve4361-8053672947397,male,410000404058,Versace,Versace sunglasses,VE4361 Biggie,/wcs/resources/store/10154/products/3074457345618401146/variants?pdpGroupByValue=VE4361+Biggie_SUN&categoryId=3074457345626651843,False,29.99,"Introducing Versace Biggie sunglasses, a striking embodiment of the brand's iconic allure. The solid dark grey lenses exude sophistication, while the irregular frame shape adds an element of urban flair. Crafted in black color with polished finish for a shiny look, these shades seamlessly blend traditional Italian craftsmanship with contemporary styling and premium materials. Elevated by its saddle bridge and distinctive branding on both temples, this pair offers timeless elegance paired with youthful energy that is unmistakably Versace.",,"Introducing Versace Biggie sunglasses, a striking embodiment of the brand's iconic allure. The solid dark grey lenses exude sophistication, while the irregular frame shape adds an element of urban flair. Crafted in black color with polished finish for a shiny look, these shades seamlessly blend traditional Italian craftsmanship with contemporary styling and premium materials. Elevated by its saddle bridge and distinctive branding on both temples, this pair offers timeless elegance paired with youthful energy that is unmistakably Versace.",0,,,Polyamide,VE4361,,(0-)_size,,, (0-)_size,Classic
693297f6d842073f56990f3b,3074457345618602194,https://www.sunglasshut.com/ca-en/versace/ve2245-8056597643030,unisex,410000404058,Versace,Versace sunglasses,VE2245,/wcs/resources/store/10154/products/3074457345618602194/variants?pdpGroupByValue=VE2245_SUN&categoryId=3074457345626651843,False,29.99,"Elevating the iconic metal frame to new heights of sophistication, Versace presents the gold VE2245 sunglasses. The polished rectangle metal frames in gold color exude timeless elegance and allure, while the grey gradient lenses add a trendy touch. Featuring exquisite craftsmanship and superior quality materials, these shades embody both luxury and style that is unmistakably Versace.",,"Elevating the iconic metal frame to new heights of sophistication, Versace presents the gold VE2245 sunglasses. The polished rectangle metal frames in gold color exude timeless elegance and allure, while the grey gradient lenses add a trendy touch. Featuring exquisite craftsmanship and superior quality materials, these shades embody both luxury and style that is unmistakably Versace.",0,,,Polyamide,VE2245,,(0-)_size,,, (0-)_size,Gradient
693297f7d842073f56990f3c,3074457345618391230,https://www.sunglasshut.com/ca-en/ray-ban/rb2140-805289126607,unisex,410000404058,Ray-Ban,Ray-Ban Sunglasses,RB2140 Original Wayfarer Classic,/wcs/resources/store/10154/products/3074457345618391230/variants?pdpGroupByValue=RB2140+Original+Wayfarer+Classic_SUN&categoryId=3074457345626651857,False,29.99,"Ray-Ban Original Wayfarer Classic is a new take on the most famous style in sunglasses. The square frame, available in black, is designed for those who seek a more traditional and classic look, while still being fashionable. This acetate version of Original Wayfarer Classic features green polarized lenses that provide 100% UV protection, so you can be sure your eyes are protected from the sun's harmful rays. Wear these shades to add an extra touch of sophistication to any outfit.",,"Ray-Ban Original Wayfarer Classic is a new take on the most famous style in sunglasses. The square frame, available in black, is designed for those who seek a more traditional and classic look, while still being fashionable. This acetate version of Original Wayfarer Classic features green polarized lenses that provide 100% UV protection, so you can be sure your eyes are protected from the sun's harmful rays. Wear these shades to add an extra touch of sophistication to any outfit.",0,,,Crystal,RB2140,,(0-)_size,,, (0-)_size,Classic
